RAVEN_sample_ID,Year,Time,Signal
0,2020,0,0
0,2020,0.1,0.06279052
0,2020,0.2,0.125333234
0,2020,0.3,0.187381315
0,2020,0.4,0.248689887
0,2020,0.5,0.309016994
0,2020,0.6,0.368124553
0,2020,0.7,0.425779292
0,2020,0.8,0.481753674
0,2020,0.9,0.535826795
0,2020,1,0.587785252
0,2020,1.1,0.63742399
0,2020,1.2,0.684547106
0,2020,1.3,0.728968627
0,2020,1.4,0.770513243
0,2020,1.5,0.809016994
0,2020,1.6,0.844327926
0,2020,1.7,0.87630668
0,2020,1.8,0.904827052
0,2020,1.9,0.929776486
0,2020,2,0.951056516
0,2021,0,0
0,2021,0.1,0.06279052
0,2021,0.2,0.125333234
0,2021,0.3,0.187381315
0,2021,0.4,0.248689887
0,2021,0.5,0.309016994
0,2021,0.6,0.368124553
0,2021,0.7,0.425779292
0,2021,0.8,0.481753674
0,2021,0.9,0.535826795
0,2021,1,0.587785252
0,2021,1.1,0.63742399
0,2021,1.2,0.684547106
0,2021,1.3,0.728968627
0,2021,1.4,0.770513243
0,2021,1.5,0.809016994
0,2021,1.6,0.844327926
0,2021,1.7,0.87630668
0,2021,1.8,0.904827052
0,2021,1.9,0.929776486
0,2021,2,0.951056516
0,2022,0,0
0,2022,0.1,0.06279052
0,2022,0.2,0.125333234
0,2022,0.3,0.187381315
0,2022,0.4,0.248689887
0,2022,0.5,0.309016994
0,2022,0.6,0.368124553
0,2022,0.7,0.425779292
0,2022,0.8,0.481753674
0,2022,0.9,0.535826795
0,2022,1,0.587785252
0,2022,1.1,0.63742399
0,2022,1.2,0.684547106
0,2022,1.3,0.728968627
0,2022,1.4,0.770513243
0,2022,1.5,0.809016994
0,2022,1.6,0.844327926
0,2022,1.7,0.87630668
0,2022,1.8,0.904827052
0,2022,1.9,0.929776486
0,2022,2,0.951056516
