RAVEN_sample_ID,Time,Year,_ROM_Cluster,scaling,spike,linear,ProbabilityWeight,prefix,PointProbability
0,0,10,1,1,10,0.1,1,1,1
0,0.1,10,1,1,0,0.2,1,1,1
0,0.2,10,1,1,0,0.3,1,1,1
0,0.3,10,1,1,0,0.4,1,1,1
0,0.4,10,1,1,0,0.5,1,1,1
0,0.5,10,1,1,0,0.6,1,1,1
0,0.6,10,1,1,0,0.7,1,1,1
0,0.7,10,1,1,0,0.8,1,1,1
0,0.8,10,1,1,0,0.9,1,1,1
0,0.9,10,1,1,0,1,1,1,1
0,1,10,1,1,0,1.1,1,1,1
0,1.1,10,1,1,10,1.2,1,1,1
0,1.2,10,1,1,0,1.3,1,1,1
0,1.3,10,1,1,0,1.4,1,1,1
0,1.4,10,1,1,0,1.5,1,1,1
0,1.5,10,1,1,0,1.6,1,1,1
0,1.6,10,1,1,0,1.7,1,1,1
0,1.7,10,1,1,0,1.8,1,1,1
0,1.8,10,1,1,0,1.9,1,1,1
0,1.9,10,1,1,0,2,1,1,1
0,2,10,1,1,10,2.1,1,1,1
0,0,11,1,1,0,0.1,1,1,1
0,0.1,11,1,1,0,0.2,1,1,1
0,0.2,11,1,1,0,0.3,1,1,1
0,0.3,11,1,1,0,0.4,1,1,1
0,0.4,11,1,1,0,0.5,1,1,1
0,0.5,11,1,1,0,0.6,1,1,1
0,0.6,11,1,1,0,0.7,1,1,1
0,0.7,11,1,1,10,0.8,1,1,1
0,0.8,11,1,1,10,0.9,1,1,1
0,0.9,11,1,1,0,1,1,1,1
0,1,11,1,1,0,1.1,1,1,1
0,1.1,11,1,1,0,1.2,1,1,1
0,1.2,11,1,1,0,1.3,1,1,1
0,1.3,11,1,1,0,1.4,1,1,1
0,1.4,11,1,1,0,1.5,1,1,1
0,1.5,11,1,1,0,1.6,1,1,1
0,1.6,11,1,1,0,1.7,1,1,1
0,1.7,11,1,1,10,1.8,1,1,1
0,1.8,11,1,1,0,1.9,1,1,1
0,1.9,11,1,1,0,2,1,1,1
0,2,11,1,1,0,2.1,1,1,1
